"News#","Title Content","Matched Words","Score","Polarity"
"1","ADVANCED MAGNETICS &lt;ADMG> IN AGREEMENT","{advanced=1}","1","Positive"
"2","HEALTH RESEARCH FILES FOR BANKRUPTCY","{}","0","Neutral"
"3","NUMEREX CORP &lt;NMRX> 2ND QTR JAN 31 LOSS","{loss=-1}","-1","Negative"
"4","U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS","{}","0","Neutral"
"5","U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT","{awarded=1}","1","Positive"
"6","COMMODORE &lt;CBU>, ATARI IN SETTLEMENT","{}","0","Neutral"
"7","BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES","{supports=1}","1","Positive"
"8","TRIANGLE &lt;TRI> BEGINS EXCHANGE OFFER","{}","0","Neutral"
"9","SOUTHMARK &lt;SM> UNIT IN PUBLIC OFFERING OF STOCK","{}","0","Neutral"
"10","EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC","{}","0","Neutral"
"11","FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE","{}","0","Neutral"
"12","TREASURY BALANCES AT FED ROSE ON MARCH 23","{}","0","Neutral"
"13","FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID","{}","0","Neutral"
"14","USX &lt;X> USS UNIT RAISES PRICES","{}","0","Neutral"
"15","UNIONIST URGES RETALIATION AGAINST JAPAN","{}","0","Neutral"
"16","EXXON (XON) GETS 99.2 MLN DLR CONTRACT","{}","0","Neutral"
"17","EATON (ETN) GETS 53.0 MLN DLR CONTRACT","{}","0","Neutral"
"18","ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA","{}","0","Neutral"
"19","MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT","{}","0","Neutral"
"20","MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION","{}","0","Neutral"
"21","U.S. WHEAT CREDITS FOR JORDAN SWITCHED","{}","0","Neutral"
"22","DOLLAR EXPECTED TO FALL DESPITE INTERVENTION","{fall=-1}","-1","Negative"
"23","U.S. TO SELL 12.8 BILLION DLRS IN BILLS","{}","0","Neutral"
"24","INLAND STEEL &lt;IAD> TO BUILD NEW PLANT IN INDIANA","{}","0","Neutral"
"25","EASTMAN KODAK &lt;EK> TO SELL HOLDINGS","{}","0","Neutral"
"26","GUINNESS SUES BOESKY IN FEDERAL COURT","{sues=-1}","-1","Negative"
"27","FIRM REDUCES SCEPTRE RESOURCES &lt;SRL> HOLDINGS","{}","0","Neutral"
"28","GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS","{}","0","Neutral"
"29","&lt;ACKLANDS LTD> 1ST QTR FEB 28 NET","{}","0","Neutral"
"30","BULL AND BEAR GROUP A &lt;BNBGA> CUTS FUND PAYOUTS","{}","0","Neutral"
"31","CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES","{}","0","Neutral"
"32","CHARTER CO &lt;QCHR> TO COMPLETE REORGANIZATION","{}","0","Neutral"
"33","NASHUA &lt;NSH> TO PURCHASE PRIVATE DISC MAKER","{}","0","Neutral"
"34","ALTRON INC &lt;ALRN> 4TH QTR JAN 3","{}","0","Neutral"
"35","COLLINS FOODS &lt;CF> MOVES UP WARRANT CONVERSION","{}","0","Neutral"
"36","GENCORP &lt;GY> PROPOSALS WITHDRAWN FROM MEETING","{}","0","Neutral"
"37","WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986","{}","0","Neutral"
"38","MONOLITHIC &lt;MMIC> TO DROP GATE ARRAY LINE","{}","0","Neutral"
"39","API SAYS DISTILLATE STOCKS OFF 4.07 MLN BBLS, GASOLINE OFF 2.69 MLN, CRUDE UP 8.53 MLN","{crude=-1}","-1","Negative"
"40","VERMONT FINANCIAL SERVICES &lt;VFSC> SETS PAYOUT","{}","0","Neutral"
"41","RESORTS INTERNATIONAL GETS BUYOUT PROPOSAL FROM KSZ CO INC","{}","0","Neutral"
"42","VR BUSINESS BROKERS EXPANDS OPERATIONS","{}","0","Neutral"
"43","CORRECTED - ATT &lt;T> FORMS COMPUTER SALES GROUPS","{}","0","Neutral"
"44","GREAT ATLANTIC AND PACIFIC TEA CO INC &lt;GAP> DIV","{great=1}","1","Positive"
"45","GARTNER GROUP &lt;GART> ACQUIRES COMTEC PROGRAM","{}","0","Neutral"
"46","U.S. CAR SALES DOWN 3.9 PCT IN MID-MARCH","{}","0","Neutral"
"47","RESORTS INT'L &lt;RT.A> RECEIVES TAKEOVER OFFER","{}","0","Neutral"
"48","CITICORP &lt;CCI> SEES DOUBLING IN RETAIL BANK NET","{}","0","Neutral"
"49","WD-40 CO &lt;WDFC> 2ND QTR FEB 28 NET","{}","0","Neutral"
"50","NASD TO BEGIN SEARCH FOR NEW PRESIDENT","{}","0","Neutral"
"51","BRAZIL COMPUTER MARKET TO REMAIN CLOSED-MINISTER","{}","0","Neutral"
"52","METALBANC IN OFFERING","{}","0","Neutral"
"53","NORTHERN INDIANA PUBLIC SVC &lt;NI> AGAIN OMITS DIV","{}","0","Neutral"
"54","FED'S JOHNSON SAYS DOLLAR STABILIZED AFTER FED TOOK APPROPRIATE ACTION","{appropriate=1}","1","Positive"
"55","FED CHAIRMAN VOLCKER SAYS BANK PROPOSALS A WORRY","{worry=-1}","-1","Negative"
"56","BORMAN'S INC &lt;BRF> DECLARES QTLY DIVIDEND","{}","0","Neutral"
"57","INTERLEUKIN-2 &lt;ILTO> DETAILS WARRANT CONVERSION","{}","0","Neutral"
"58","U.S. CORN ACREAGE SEEN NEAR RECORD LOW","{}","0","Neutral"
"59","KIRSCHNER &lt;KMDC> COMPLETES PURCHASE","{}","0","Neutral"
"60","U.S. SENATORS SEEK TO EXPAND USDA EXPORT BONUS","{bonus=1}","1","Positive"
"61","FED'S JOHNSON SAYS FED ACTED TO STABILIZE DOLLAR","{stabilize=1}","1","Positive"
"62","XOMA &lt;XOMA> FILES FOR PUBLIC OFFERING","{}","0","Neutral"
"63","REPUBLIC AMERICAN &lt;RAWC> PLANS EXCHANGE OFFER","{}","0","Neutral"
"64","MARYLAND NATIONAL &lt;MDNT> SEES NEW NAME","{}","0","Neutral"
"65","VENEZUELA TO ANNOUCE PARTNER FOR COAL VENTURE","{}","0","Neutral"
"66","GOTTSCHALKS INC &lt;GOT> 4TH QTR NET","{}","0","Neutral"
"67","BORG-WARNER SAYS IT DISCUSSED POSSIBLE TAKEOVER WITH IRWIN JACOBS","{}","0","Neutral"
"68","CYCLOPS CORP SAYS CYACQ'S AMENDED OFFER RESTATES ORIGINAL CONDITIONS","{}","0","Neutral"
"69","U.S. SUGAR QUOTA MAY BE EASED, CONGRESSMAN SAYS","{eased=1}","1","Positive"
"70","MOBIL &lt;MOB> UNIT NAMES GROUP PRESIDENT","{}","0","Neutral"
"71","SONY &lt;SNE> TO SHIP SAMPLE OPTICAL DISKS","{}","0","Neutral"
"72","CALIFORNIA MICROWAVE &lt;CMIC> TAKES 3RD QTR CHARGE","{}","0","Neutral"
"73","CRS SIRRINE PLANS MAJOR RESTRUCTURING, WRITE OFF OF UP 43 MLN DLRS","{restructuring=1}","1","Positive"
"74","H.F. AHMANSON AND CO &lt;AHM> QTLY DIVIDEND","{}","0","Neutral"
"75","BORG-WARNER &lt;BOR> TELLS OF TALKS WITH JACOBS","{}","0","Neutral"
"76","CANADA VOWS TO FIGHT U.S. POTASH ACTION","{}","0","Neutral"
"77","TRINTOC, UNION CARBIDE TO BUILD METHANOL PLANT","{}","0","Neutral"
"78","ORMAND INDUSTRIES &lt;OMD> UNIT TO REPAY DEBT","{debt=-1}","-1","Negative"
"79","VOLCKER CALLS DOLLAR SLIDE ENOUGH","{enough=1}","1","Positive"
"80","NASDAQ MARCH SHORT INTEREST WAS 184.9 MLN SHRS VS 215.7 MLN SHARES IN FEBRUARY","{}","0","Neutral"
"81","RB INDUSTRIES &lt;RBI> COMPLETES STORE SALES","{}","0","Neutral"
"82","TRAVELERS &lt;TIC> UNIT SELLS MORTGAGE CERTIFICATES","{}","0","Neutral"
